idx	Train_S	Test_S	All_S	Train_T	Test_T	All_T	Train_T_10	Test_T_10	All_T_10	Other1	Other2
1770	0.97485715	0.974	0.9746	0.96914285	0.972	0.97	[1.0, 1.0, 0.98285717, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9056047, 0.8076923]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9254658, 0.7867647]	[1.0, 1.0, 0.986, 1.0, 1.0, 1.0, 1.0, 1.0, 0.912, 0.802]	1.968132	0.057064533
1780	0.9785714	0.972	0.9766	0.9574286	0.946	0.954	[1.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 0.99717516, 0.9971014, 0.76106197, 0.82417583]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6459627, 0.8235294]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.998, 0.724, 0.824]	1.964221	0.06061703
1790	0.978	0.976	0.9774	0.96428573	0.956	0.9618	[1.0, 1.0, 0.98571426, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8466077, 0.8131868]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.77018636, 0.7941176]	[1.0, 1.0, 0.988, 1.0, 1.0, 1.0, 1.0, 1.0, 0.822, 0.808]	1.8393698	0.059203863
1800	0.97571427	0.9713333	0.9744	0.97342855	0.9726667	0.9732	[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 0.9942029, 0.9321534, 0.8324176]	[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.9254658, 0.8161765]	[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 0.994, 0.93, 0.828]	1.8629427	0.055305958
1810	0.9722857	0.9686667	0.9712	0.95685714	0.94533336	0.9534	[1.0, 1.0, 0.9885714, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7817109, 0.7994506]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.68944097, 0.7647059]	[1.0, 1.0, 0.992, 1.0, 1.0, 1.0, 1.0, 1.0, 0.752, 0.79]	1.7966604	0.056023777
1820	0.9768571	0.978	0.9772	0.9685714	0.9673333	0.9682	[1.0, 1.0, 0.98285717, 1.0, 1.0, 1.0, 1.0, 1.0, 0.89085543, 0.81593406]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8757764, 0.7941176]	[1.0, 1.0, 0.986, 1.0, 1.0, 1.0, 1.0, 1.0, 0.886, 0.81]	1.7192822	0.057034433
1830	0.9722857	0.972	0.9722	0.97057146	0.968	0.9698	[1.0, 1.0, 0.9771429, 1.0, 1.0, 1.0, 0.99717516, 1.0, 0.9380531, 0.7994506]	[1.0, 1.0, 0.96, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9378882, 0.7647059]	[1.0, 1.0, 0.972, 1.0, 1.0, 1.0, 0.998, 1.0, 0.938, 0.79]	1.8800173	0.053514123
1840	0.9711428	0.972	0.9714	0.9685714	0.9673333	0.9682	[1.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 0.99717516, 1.0, 0.89675516, 0.8021978]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.88819873, 0.77205884]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 1.0, 0.894, 0.794]	1.7716274	0.047626317
1850	0.982	0.97466666	0.9798	0.96257144	0.95133334	0.9592	[1.0, 1.0, 0.99142855, 1.0, 1.0, 1.0, 1.0, 0.9971014, 0.8082596, 0.8296703]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.70186335, 0.8161765]	[1.0, 1.0, 0.994, 1.0, 1.0, 1.0, 1.0, 0.998, 0.774, 0.826]	1.6641102	0.05463785
1860	0.98	0.974	0.9782	0.96828574	0.9586667	0.9654	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 1.0, 0.9971014, 0.85545725, 0.83516484]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7763975, 0.8088235]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 1.0, 0.998, 0.83, 0.828]	1.6328726	0.047327638
